FEN,EVAL
rnb1kbnr/pp4pp/2ppp1q1/5pB1/2PP4/2NBPN2/PP3PPP/R2QK2R w KQkq - 0 8,182.0
rnb1kbnr/pp4pp/2ppp1q1/5pB1/2PPP3/2NB1N2/PP3PPP/R2QK2R b KQkq - 0 8,183.0
rnb1kbnr/pp4pp/2ppp1q1/6B1/2PPPp2/2NB1N2/PP3PPP/R2QK2R w KQkq - 0 9,277.0
rnb1kbnr/pp4pp/2ppp1q1/4P1B1/2PP1p2/2NB1N2/PP3PPP/R2QK2R b KQkq - 0 9,330.0
rnb1kbnr/pp4pp/2ppp3/4P1Bq/2PP1p2/2NB1N2/PP3PPP/R2QK2R w KQkq - 1 10,357.0
rnb1kbnr/pp4pp/2ppp3/4P1Bq/2PP1p2/3B1N2/PP2NPPP/R2QK2R b KQkq - 2 10,224.0
rnb1k1nr/pp2b1pp/2ppp3/4P1Bq/2PP1p2/3B1N2/PP2NPPP/R2QK2R w KQkq - 3 11,289.0
rnb1k1nr/pp2b1pp/2ppp3/4P1Bq/2PP1N2/3B1N2/PP3PPP/R2QK2R b KQkq - 0 11,409.0
rnb1k1nr/pp4pp/2ppp3/4P1bq/2PP1N2/3B1N2/PP3PPP/R2QK2R w KQkq - 0 12,206.0
rnb1k1nr/pp4pp/2ppp3/4P1bN/2PP4/3B1N2/PP3PPP/R2QK2R b KQkq - 0 12,762.0
rnb1k1nr/pp4p1/2ppp2p/4P1bN/2PP4/3B1N2/PP3PPP/R2QK2R w KQkq - 0 13,1021.0
rnb1k1nr/pp4p1/2pPp2p/6bN/2PP4/3B1N2/PP3PPP/R2QK2R b KQkq - 0 13,635.0
r1b1k1nr/pp1n2p1/2pPp2p/6bN/2PP4/3B1N2/PP3PPP/R2QK2R w KQkq - 1 14,1042.0
r1b3nr/pp1n1kN1/2pPp2p/6b1/2PP4/3B1N2/PP3PPP/R2QK2R w KQ - 1 15,923.0
r1b3nr/pp1n2k1/2pPp2p/4N1b1/2PP4/3B4/PP3PPP/R2QK2R w KQ - 0 16,791.0
r1b3nr/pp1n2k1/2pPp2p/4N1bQ/2PP4/3B4/PP3PPP/R3K2R b KQ - 1 16,664.0
r1b3nr/pp4k1/2pPp2p/4n1bQ/2PP4/3B4/PP3PPP/R3K2R w KQ - 0 17,394.0
r1b3nr/pp4k1/2pPp2p/4P1bQ/2P5/3B4/PP3PPP/R3K2R b KQ - 0 17,513.0
r5nr/pp1b2k1/2pPp2p/4P1bQ/2P5/3B4/PP3PPP/R3K2R w KQ - 1 18,825.0
r5nr/pp1b2k1/2pPp2p/4P1bQ/2P5/3B4/PP3PPP/R4RK1 b - - 2 18,497.0
r3b1nr/pp4k1/2pPp2p/4P1bQ/2P5/3B4/PP3PPP/R4RK1 w - - 3 19,621.0
r3b1nr/pp4k1/2pPp2p/4P1b1/2P3Q1/3B4/PP3PPP/R4RK1 b - - 4 19,438.0
r3b2r/pp2n1k1/2pPp2p/4P1b1/2P3Q1/3B4/PP3PPP/R4RK1 w - - 5 20,765.0
r3b2r/pp2n1k1/2pPp2p/4P1b1/2P2PQ1/3B4/PP4PP/R4RK1 b - - 0 20,584.0
r3b2r/pp4k1/2pPp1np/4P1b1/2P2PQ1/3B4/PP4PP/R4RK1 w - - 1 21,836.0
r3b2r/pp4k1/2pPp1np/4P1P1/2P3Q1/3B4/PP4PP/R4RK1 b - - 0 21,443.0
r3b2r/pp4k1/2pPp2p/4n1P1/2P3Q1/3B4/PP4PP/R4RK1 w - - 0 22,898.0
r3b2r/pp6/2pPp2k/4n3/2P3Q1/3B4/PP4PP/R4RK1 w - - 0 23,767.0
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,27.0
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,44.0
rnbqkbnr/pppp1ppp/4p3/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,46.0
rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,37.0
rnbqkbnr/ppp2ppp/4p3/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,44.0
rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,11.0
r1bqkbnr/pp3ppp/2n1p3/1BppP3/3P4/8/PPP2PPP/RNBQK1NR w KQkq - 2 5,-2.0
r1bqkbnr/pp3ppp/2n1p3/1BppP3/3P4/5N2/PPP2PPP/RNBQK2R b KQkq - 3 5,-3.0
r1b1kbnr/pp3ppp/1qn1p3/1BppP3/3P4/5N2/PPP2PPP/RNBQK2R w KQkq - 4 6,7.0
r1b1kbnr/pp3ppp/2q1p3/2ppP3/3P4/5N2/PPP2PPP/RNBQK2R w KQkq - 0 7,7.0
r1b1kbnr/pp3ppp/2q1p3/2ppP3/3P4/2P2N2/PP3PPP/RNBQK2R b KQkq - 0 7,-9.0
r1b1kb1r/pp3ppp/2q1p2n/2ppP3/3P4/2P2N2/PP3PPP/RNBQK2R w KQkq - 1 8,19.0
r1b1kb1r/pp3ppp/2q1p2B/2ppP3/3P4/2P2N2/PP3PPP/RN1QK2R b KQkq - 0 8,210.0
r1b1kb1r/pp3p1p/2q1p2p/2ppP3/3P4/2P2N2/PP3PPP/RN1QK2R w KQkq - 0 9,88.0
r1b1kb1r/pp3p1p/2q1p2p/2ppP3/3P4/2P2N2/PP3PPP/RN1Q1RK1 b kq - 1 9,98.0
r1b1k2r/pp3pbp/2q1p2p/2ppP3/3P4/2P2N2/PP3PPP/RN1Q1RK1 w kq - 2 10,131.0
r1b1k2r/pp3pbp/2q1p2p/2PpP3/8/2P2N2/PP3PPP/RN1Q1RK1 b kq - 0 10,112.0
r1b1k2r/pp3pbp/4p2p/2qpP3/8/2P2N2/PP3PPP/RN1Q1RK1 w kq - 0 11,92.0
r1b1k2r/pp3pbp/4p2p/2qpP3/3Q4/2P2N2/PP3PPP/RN3RK1 b kq - 1 11,73.0
r1b1k2r/pp3pbp/2q1p2p/3pP3/3Q4/2P2N2/PP3PPP/RN3RK1 w kq - 2 12,129.0
r1b1k2r/pp3pbp/2q1p2p/3pP3/3Q4/2P2N2/PP1N1PPP/R4RK1 b kq - 3 12,125.0
r3k2r/pp1b1pbp/2q1p2p/3pP3/3Q4/2P2N2/PP1N1PPP/R4RK1 w kq - 4 13,123.0
r3k2r/pp1b1pbp/2q1p2p/3pP3/1P1Q4/2P2N2/P2N1PPP/R4RK1 b kq - 0 13,39.0
r4rk1/pp1b1pbp/2q1p2p/3pP3/1P1Q4/2P2N2/P2N1PPP/R4RK1 w - - 1 14,42.0
r4rk1/pp1b1pbp/2q1p2p/3pP3/1P1Q4/2P2N2/P2N1PPP/R1R3K1 b - - 2 14,41.0
r4rk1/1p1b1pbp/p1q1p2p/3pP3/1P1Q4/2P2N2/P2N1PPP/R1R3K1 w - - 0 15,67.0
r4rk1/1p1b1pbp/p1q1p2p/3pP3/1PPQ4/5N2/P2N1PPP/R1R3K1 b - - 0 15,88.0
r4rk1/1p1b2bp/p1q1pp1p/3pP3/1PPQ4/5N2/P2N1PPP/R1R3K1 w - - 0 16,82.0
r4rk1/1p1b2bp/p1q1pp1p/3PP3/1P1Q4/5N2/P2N1PPP/R1R3K1 b - - 0 16,222.0
r4rk1/1p1b2bp/p3pp1p/3qP3/1P1Q4/5N2/P2N1PPP/R1R3K1 w - - 0 17,26.0
r4rk1/1p1b2bp/p3pp1p/3QP3/1P6/5N2/P2N1PPP/R1R3K1 b - - 0 17,101.0
r4rk1/1p1b2bp/p4p1p/3pP3/1P6/5N2/P2N1PPP/R1R3K1 w - - 0 18,-12.0
r4rk1/1pRb2bp/p4p1p/3pP3/1P6/5N2/P2N1PPP/R5K1 b - - 1 18,7.0
r4rk1/1pR3bp/p1b2p1p/3pP3/1P6/5N2/P2N1PPP/R5K1 w - - 2 19,-14.0
r4rk1/1pR3bp/p1b1Pp1p/3p4/1P6/5N2/P2N1PPP/R5K1 b - - 0 19,40.0
2r2rk1/1pR3bp/p1b1Pp1p/3p4/1P6/5N2/P2N1PPP/R5K1 w - - 1 20,57.0
2R2rk1/1p4bp/p1b1Pp1p/3p4/1P6/5N2/P2N1PPP/R5K1 b - - 0 20,184.0
2r3k1/1p4bp/p1b1Pp1p/3p4/1P6/5N2/P2N1PPP/R5K1 w - - 0 21,5.0
2r3k1/1p4bp/p1b1Pp1p/3p4/1P1N4/8/P2N1PPP/R5K1 b - - 1 21,49.0
4r1k1/1p4bp/p1b1Pp1p/3p4/1P1N4/8/P2N1PPP/R5K1 w - - 2 22,113.0
4r1k1/1p4bp/p1b1Pp1p/3p4/1P1N4/8/P2N1PPP/4R1K1 b - - 3 22,110.0
