FEN,EVAL
4rrk1/p2q1pp1/1ppp3p/8/P1P1Pb2/2PQ1N1P/1P3PP1/R3R1K1 w - - 0 21,172.0
4rrk1/p2q1pp1/1ppp3p/P7/2P1Pb2/2PQ1N1P/1P3PP1/R3R1K1 b - - 0 21,138.0
4rrk1/p2q1pp1/2pp3p/p7/2P1Pb2/2PQ1N1P/1P3PP1/R3R1K1 w - - 0 22,138.0
4rrk1/p2q1pp1/2pp3p/R7/2P1Pb2/2PQ1N1P/1P3PP1/4R1K1 b - - 0 22,188.0
4rrk1/p2q1pp1/2p4p/R2p4/2P1Pb2/2PQ1N1P/1P3PP1/4R1K1 w - - 0 23,270.0
4rrk1/p2q1pp1/2p4p/R2P4/4Pb2/2PQ1N1P/1P3PP1/4R1K1 b - - 0 23,329.0
4rrk1/p4pp1/2pq3p/R2P4/4Pb2/2PQ1N1P/1P3PP1/4R1K1 w - - 1 24,412.0
4rrk1/p4pp1/2pq3p/R2P4/2P1Pb2/3Q1N1P/1P3PP1/4R1K1 b - - 0 24,343.0
4rrk1/p4pp1/3q3p/R2p4/2P1Pb2/3Q1N1P/1P3PP1/4R1K1 w - - 0 25,276.0
4rrk1/p4pp1/3q3p/3R4/2P1Pb2/3Q1N1P/1P3PP1/4R1K1 b - - 0 25,374.0
4rrk1/p4pp1/7p/3R4/1qP1Pb2/3Q1N1P/1P3PP1/4R1K1 w - - 1 26,381.0
4rrk1/p4pp1/7p/7R/1qP1Pb2/3Q1N1P/1P3PP1/4R1K1 b - - 2 26,155.0
4rrk1/p4pp1/7p/7R/2P1Pb2/3Q1N1P/1q3PP1/4R1K1 w - - 0 27,112.0
4rrk1/p4pp1/7p/5R2/2P1Pb2/3Q1N1P/1q3PP1/4R1K1 b - - 1 27,127.0
4rrk1/p4pp1/7p/5Rb1/2P1P3/3Q1N1P/1q3PP1/4R1K1 w - - 2 28,189.0
4rrk1/p4pp1/7p/5RN1/2P1P3/3Q3P/1q3PP1/4R1K1 b - - 0 28,132.0
4rrk1/p4pp1/8/5Rp1/2P1P3/3Q3P/1q3PP1/4R1K1 w - - 0 29,177.0
4rrk1/p4pp1/8/6R1/2P1P3/3Q3P/1q3PP1/4R1K1 b - - 0 29,284.0
4rrk1/p4pp1/8/6R1/1qP1P3/3Q3P/5PP1/4R1K1 w - - 1 30,306.0
4rrk1/p4pp1/8/6R1/1qP1P3/3Q3P/5PP1/5RK1 b - - 2 30,280.0
4rrk1/5pp1/8/p5R1/1qP1P3/3Q3P/5PP1/5RK1 w - - 0 31,320.0
4rrk1/5pp1/8/p5R1/1qPQP3/7P/5PP1/5RK1 b - - 1 31,272.0
4rrk1/5pp1/8/6R1/pqPQP3/7P/5PP1/5RK1 w - - 0 32,293.0
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,27.0
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,13.0
rnbqkbnr/pppp1ppp/8/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 1 2,2.0
rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 2 3,7.0
rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-2.0
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,9.0
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 5 4,-3.0
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 6 5,17.0
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2N2N2/PPPP1PPP/R1BQ1RK1 b kq - 7 5,8.0
r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1P3/2N2N2/PPPP1PPP/R1BQ1RK1 w kq - 0 6,22.0
r1bqk2r/ppp2ppp/2np1n2/2b1p3/N1B1P3/5N2/PPPP1PPP/R1BQ1RK1 b kq - 1 6,1.0
r1bqk2r/ppp2ppp/3p1n2/2b1p3/N1BnP3/5N2/PPPP1PPP/R1BQ1RK1 w kq - 2 7,28.0
r1bqk2r/ppp2ppp/3p1n2/2N1p3/2BnP3/5N2/PPPP1PPP/R1BQ1RK1 b kq - 0 7,98.0
r1bqk2r/ppp2ppp/5n2/2p1p3/2BnP3/5N2/PPPP1PPP/R1BQ1RK1 w kq - 0 8,62.0
r1bqk2r/ppp2ppp/5n2/2p1N3/2BnP3/8/PPPP1PPP/R1BQ1RK1 b kq - 0 8,184.0
r1b1k2r/ppp2ppp/3q1n2/2p1N3/2BnP3/8/PPPP1PPP/R1BQ1RK1 w kq - 1 9,199.0
r1b1k2r/ppp2Npp/3q1n2/2p5/2BnP3/8/PPPP1PPP/R1BQ1RK1 b kq - 0 9,342.0
r1b1k2r/ppp2Npp/5n2/2p5/2BnPq2/8/PPPP1PPP/R1BQ1RK1 w kq - 1 10,315.0
r1b1k2N/ppp3pp/5n2/2p5/2BnPq2/8/PPPP1PPP/R1BQ1RK1 b q - 0 10,304.0
r1b1k2N/ppp3pp/8/2p5/2BnPqn1/8/PPPP1PPP/R1BQ1RK1 w q - 1 11,143.0
r1b1k2N/ppp3pp/8/2p5/2BnPqn1/6P1/PPPP1P1P/R1BQ1RK1 b q - 0 11,199.0
r1b1k2N/ppp3pp/8/2p5/2B1Pqn1/5nP1/PPPP1P1P/R1BQ1R1K b q - 2 12,189.0
r1b1k2N/ppp3pp/8/2p5/2B1q1n1/5nP1/PPPP1P1P/R1BQ1R1K w q - 0 13,170.0
r1b1k2N/ppp3pp/8/2p5/4q1n1/3B1nP1/PPPP1P1P/R1BQ1R1K b q - 1 13,195.0
r1b1k2N/ppp3pp/8/2p1n3/4q1n1/3B2P1/PPPP1P1P/R1BQ1RK1 b q - 3 14,150.0
r1b1k2N/ppp3pp/8/2p5/4q1n1/3n2P1/PPPP1P1P/R1BQ1RK1 w q - 0 15,46.0
r1b1k2N/ppp3pp/8/2p5/4q1n1/3P2P1/PP1P1P1P/R1BQ1RK1 b q - 0 15,173.0
r1b1k2N/ppp3pp/8/2p5/6n1/3q2P1/PP1P1P1P/R1BQ1RK1 w q - 0 16,356.0
r1b1k2N/ppp3pp/8/2p5/6Q1/3q2P1/PP1P1P1P/R1B2RK1 b q - 0 16,222.0
r3k2N/ppp3pp/8/2p5/6b1/3q2P1/PP1P1P1P/R1B2RK1 w q - 0 17,-377.0
rnbqkbnr/pppppppp/8/8/8/3P4/PPP1PPPP/RNBQKBNR b KQkq - 0 1,-13.0
rnbqkbnr/pppp1ppp/8/4p3/8/3P4/PPP1PPPP/RNBQKBNR w KQkq - 0 2,-22.0
rnbqkbnr/pppp1ppp/8/4p3/4P3/3P4/PPP2PPP/RNBQKBNR b KQkq - 0 2,2.0
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/3P4/PPP2PPP/RNBQKBNR w KQkq - 1 3,16.0
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/3P1P2/PPP3PP/RNBQKBNR b KQkq - 0 3,-36.0
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3P1P2/PPP3PP/RNBQKBNR w KQkq - 1 4,-33.0
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3P1P1P/PPP3P1/RNBQKBNR b KQkq - 0 4,-86.0
r1bqk2r/pppp1ppp/2n2n2/2b1p3/4P3/3P1P1P/PPP3P1/RNBQKBNR w KQkq - 1 5,-92.0
r1bqk2r/pppp1ppp/2n2n2/2b1p3/4P1P1/3P1P1P/PPP5/RNBQKBNR b KQkq - 0 5,-142.0
r1bqk2r/ppp2ppp/2np1n2/2b1p3/4P1P1/3P1P1P/PPP5/RNBQKBNR w KQkq - 0 6,-88.0
r1bqk2r/ppp2ppp/2np1n2/2b1p3/4P1P1/P2P1P1P/1PP5/RNBQKBNR b KQkq - 0 6,-167.0
r1bq1rk1/ppp2ppp/2np1n2/2b1p3/4P1P1/P2P1P1P/1PP5/RNBQKBNR w KQ - 1 7,-113.0
r1bq1rk1/ppp2ppp/2np1n2/2b1p3/4P1P1/P1PP1P1P/1P6/RNBQKBNR b KQ - 0 7,-135.0
r1bq1rk1/ppp2pp1/2np1n1p/2b1p3/4P1P1/P1PP1P1P/1P6/RNBQKBNR w KQ - 0 8,-109.0
r1bq1rk1/ppp2pp1/2np1n1p/2b1p3/4P1PP/P1PP1P2/1P6/RNBQKBNR b KQ - 0 8,-112.0
r1bq1rk1/ppp2ppn/2np3p/2b1p3/4P1PP/P1PP1P2/1P6/RNBQKBNR w KQ - 1 9,-78.0
r1bq1rk1/ppp2ppn/2np3p/2b1p1P1/4P2P/P1PP1P2/1P6/RNBQKBNR b KQ - 0 9,-91.0
r1bq1rk1/ppp2ppn/2np4/2b1p1p1/4P2P/P1PP1P2/1P6/RNBQKBNR w KQ - 0 10,-119.0
r1bq1rk1/ppp2ppn/2np4/2b1p1P1/4P3/P1PP1P2/1P6/RNBQKBNR b KQ - 0 10,-61.0
r1bq1rk1/ppp2pp1/2np4/2b1p1n1/4P3/P1PP1P2/1P6/RNBQKBNR w KQ - 0 11,-84.0
r1bq1rk1/ppp2pp1/2np4/2b1p1B1/4P3/P1PP1P2/1P6/RN1QKBNR b KQ - 0 11,200.0
r1b2rk1/ppp2pp1/2np4/2b1p1q1/4P3/P1PP1P2/1P6/RN1QKBNR w KQ - 0 12,-244.0
r1b2rk1/ppp2pp1/2np4/2b1p1q1/4P3/P1PP1P2/1P2Q3/RN2KBNR b KQ - 1 12,-237.0
r1b2rk1/1pp2pp1/2np4/p1b1p1q1/4P3/P1PP1P2/1P2Q3/RN2KBNR w KQ - 0 13,-187.0
r1b2rk1/1pp2pp1/2np4/p1b1p1q1/4P3/P1PP1P2/1P1NQ3/R3KBNR b KQ - 1 13,-164.0
r4rk1/1pp2pp1/2npb3/p1b1p1q1/4P3/P1PP1P2/1P1NQ3/R3KBNR w KQ - 2 14,-111.0
r4rk1/1pp2pp1/2npb3/p1b1p1q1/4P3/P1PP1P2/1P1N3Q/R3KBNR b KQ - 3 14,-87.0
r4rk1/1pp2pp1/2npb2q/p1b1p3/4P3/P1PP1P2/1P1N3Q/R3KBNR w KQ - 4 15,-75.0
r4rk1/1pp2pp1/2npb2Q/p1b1p3/4P3/P1PP1P2/1P1N4/R3KBNR b KQ - 0 15,283.0
r4rk1/1pp2p2/2npb2p/p1b1p3/4P3/P1PP1P2/1P1N4/R3KBNR w KQ - 0 16,-96.0
r4rk1/1pp2p2/2npb2R/p1b1p3/4P3/P1PP1P2/1P1N4/R3KBN1 b Q - 0 16,-122.0
r4rk1/1pp2p2/2npb2R/p3p3/4P3/P1PP1P2/1P1N4/R3KBb1 w Q - 0 17,-206.0
r4rk1/1pp2p2/2npb3/p3p3/4P3/P1PP1P2/1P1N4/R3KBbR b Q - 1 17,-155.0
r4rk1/1pp2p2/2npb3/p1b1p3/4P3/P1PP1P2/1P1N4/R3KB1R w Q - 2 18,-284.0
r4rk1/1pp2p2/2npb3/p1b1p3/4P2R/P1PP1P2/1P1N4/R3KB2 b Q - 3 18,-486.0
r4r2/1pp2pk1/2npb3/p1b1p3/4P2R/P1PP1P2/1P1N4/R3KB2 w Q - 4 19,-423.0
r4r2/1pp2pk1/2npb3/p1b1p3/4PP1R/P1PP4/1P1N4/R3KB2 b Q - 0 19,-493.0
r4r2/1pp2pk1/2npb3/p1b5/4Pp1R/P1PP4/1P1N4/R3KB2 w Q - 0 20,-264.0
r4r2/1pp2pk1/2npb3/p1b5/4PR2/P1PP4/1P1N4/R3KB2 b Q - 0 20,-516.0
r4r2/1pp2pk1/3pb3/p1b1n3/4PR2/P1PP4/1P1N4/R3KB2 w Q - 1 21,-298.0
r4r2/1pp2pk1/3pb3/p1b1n3/3PPR2/P1P5/1P1N4/R3KB2 b Q - 0 21,-213.0
r4r2/1pp2pk1/3pb3/p1b5/3PPR2/P1P2N2/1P6/R3KB2 b Q - 0 22,72.0
r4r2/1pp2pk1/1b1pb3/p7/3PPR2/P1P2N2/1P6/R3KB2 w Q - 1 23,70.0
r4r2/1pp2pk1/1b1pb3/p2P4/4PR2/P1P2N2/1P6/R3KB2 b Q - 0 23,13.0
r4r2/1ppb1pk1/1b1p4/p2P4/4PR2/P1P2N2/1P6/R3KB2 w Q - 1 24,-2.0
r4r2/1ppb1pk1/1b1p4/p2P4/4P2R/P1P2N2/1P6/R3KB2 b Q - 2 24,-48.0
r4r2/1ppb1p2/1b1p1k2/p2P4/4P2R/P1P2N2/1P6/R3KB2 w Q - 3 25,-11.0
r4r2/1ppbkp2/1b1p3R/p2P4/4P3/P1P2N2/1P6/R3KB2 w Q - 5 26,-48.0
r4r2/1ppbkp1R/1b1p4/p2P4/4P3/P1P2N2/1P6/R3KB2 b Q - 6 26,-72.0
r4r2/1p1bkp1R/1b1p4/p1pP4/4P3/P1P2N2/1P6/R3KB2 w Q c6 0 27,36.0
r4r2/1p1bkp1R/1b1p4/p1pP2N1/4P3/P1P5/1P6/R3KB2 b Q - 1 27,-18.0
r4r2/1p1bkp1R/1b1p4/p2P2N1/2p1P3/P1P5/1P6/R3KB2 w Q - 0 28,19.0
r4r2/1p1bkN1R/1b1p4/p2P4/2p1P3/P1P5/1P6/R3KB2 b Q - 0 28,79.0
r3kr2/1p1b1N1R/1b1p4/p2P4/2p1P3/P1P5/1P6/R3KB2 w Q - 1 29,260.0
r2k1r2/1p1b3R/1b1N4/p2P4/2p1P3/P1P5/1P6/R3KB2 w Q - 1 30,419.0
r1k2r2/1N1b3R/1b6/p2P4/2p1P3/P1P5/1P6/R3KB2 w Q - 1 31,298.0
r2k1r2/3b3R/1b1N4/p2P4/2p1P3/P1P5/1P6/R3KB2 w Q - 3 32,459.0
r2k1r2/3b3R/1b6/p2P4/2N1P3/P1P5/1P6/R3KB2 b Q - 0 32,379.0
r2k1r2/3b3R/8/p2P4/2N1P3/P1P5/1P2Kb2/R4B2 b - - 2 33,250.0
r2k1r2/3b3R/1b6/p2P4/2N1P3/P1P5/1P2K3/R4B2 w - - 3 34,492.0
r2k1r2/3b3R/1N6/p2P4/4P3/P1P5/1P2K3/R4B2 b - - 0 34,507.0
r2k1r2/7R/1N6/p2P4/4P1b1/P1P5/1P6/R3KB2 b - - 2 35,475.0
1r1k1r2/7R/1N6/p2P4/4P1b1/P1P5/1P6/R3KB2 w - - 3 36,491.0
1r1k1r2/7R/8/p2P4/2N1P1b1/P1P5/1P6/R3KB2 b - - 4 36,420.0
1r1k1r2/7R/8/3P4/p1N1P1b1/P1P5/1P6/R3KB2 w - - 0 37,648.0
1r1k1r2/6R1/8/3P4/p1N1P1b1/P1P5/1P6/R3KB2 b - - 1 37,450.0
1r1k1r2/3b2R1/8/3P4/p1N1P3/P1P5/1P6/R3KB2 w - - 2 38,685.0
1r1k1r2/3b2R1/8/3PP3/p1N5/P1P5/1P6/R3KB2 b - - 0 38,449.0
1r1k1r2/6R1/8/1b1PP3/p1N5/P1P5/1P6/R3KB2 w - - 1 39,550.0
1r1k1r2/6R1/4P3/1b1P4/p1N5/P1P5/1P6/R3KB2 b - - 0 39,409.0
1r1kr3/6R1/4P3/1b1P4/p1N5/P1P5/1P6/R3KB2 w - - 1 40,626.0
1r1kr3/6R1/3NP3/1b1P4/p7/P1P5/1P6/R3KB2 b - - 2 40,468.0
1r1k4/4r1R1/3NP3/1b1P4/p7/P1P5/1P6/R3KB2 w - - 3 41,651.0
1r1k4/4R3/3NP3/1b1P4/p7/P1P5/1P6/R3KB2 b - - 0 41,451.0
1r6/4k3/3NP3/1b1P4/p7/P1P5/1P6/R3KB2 w - - 0 42,581.0
1r6/4k3/4P3/1N1P4/p7/P1P5/1P6/R3KB2 b - - 0 42,377.0
8/4k3/4P3/1r1P4/p7/P1P5/1P6/R3KB2 w - - 0 43,700.0
8/4k3/4P3/1B1P4/p7/P1P5/1P6/R3K3 b - - 0 43,444.0
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,27.0
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,24.0
rnbqkbnr/pp1ppppp/8/2p5/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 1 2,6.0
rnb1kbnr/pp1ppppp/8/q1p5/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 2 3,50.0
rnb1kbnr/pp1ppppp/8/q1p5/2B1P3/2N5/PPPP1PPP/R1BQK1NR b KQkq - 3 3,27.0
rnb1kbnr/pp2pppp/3p4/q1p5/2B1P3/2N5/PPPP1PPP/R1BQK1NR w KQkq - 0 4,59.0
rnb1kbnr/pp2pppp/3p4/q1p5/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 1 4,57.0
rnb1kb1r/pp2pppp/3p1n2/q1p5/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 2 5,62.0
rnb1kb1r/pp2pppp/3p1n2/q1p5/2B1P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 0 5,28.0
rn2kb1r/pp2pppp/3p1n2/q1p5/2B1P1b1/2NP1N2/PPP2PPP/R1BQK2R w KQkq - 1 6,40.0
rn2kb1r/pp2pppp/3p1n2/q1p5/2B1P1b1/2NP1N2/PPP2PPP/R1BQ1RK1 b kq - 2 6,30.0
rn2kb1r/pp2pppp/3p1n2/q1p5/2B1P3/2NP1b2/PPP2PPP/R1BQ1RK1 w kq - 0 7,47.0
rn2kb1r/pp2pppp/3p1n2/q1p5/2B1P3/2NP1Q2/PPP2PPP/R1B2RK1 b kq - 0 7,101.0
rn2kb1r/pp3ppp/3ppn2/q1p5/2B1P3/2NP1Q2/PPP2PPP/R1B2RK1 w kq - 0 8,117.0
rn2kb1r/pp3ppp/3ppn2/q1p3B1/2B1P3/2NP1Q2/PPP2PPP/R4RK1 b kq - 1 8,65.0
rn2k2r/pp2bppp/3ppn2/q1p3B1/2B1P3/2NP1Q2/PPP2PPP/R4RK1 w kq - 2 9,57.0
r3k2r/pp2bppp/2nppn2/qBp3B1/4P3/2NP1Q2/PPP2PPP/R4RK1 w kq - 4 10,27.0
r3k2r/pp2bppp/2nppB2/qBp5/4P3/2NP1Q2/PPP2PPP/R4RK1 b kq - 0 10,68.0
r3k2r/pp3ppp/2nppb2/qBp5/4P3/2NP1Q2/PPP2PPP/R4RK1 w kq - 0 11,-33.0
r3k2r/pp3ppp/2nppb2/q1p5/2B1P3/2NP1Q2/PPP2PPP/R4RK1 b kq - 1 11,-113.0
r3k2r/pp3ppp/2npp3/q1p5/2B1P3/2bP1Q2/PPP2PPP/R4RK1 w kq - 0 12,-160.0
r3k2r/pp3ppp/2npp3/q1p5/2B1P3/2PP1Q2/P1P2PPP/R4RK1 b kq - 0 12,-65.0
r4rk1/pp3ppp/2npp3/q1p5/2B1P3/2PP1Q2/P1P2PPP/R4RK1 w - - 1 13,-67.0
r4rk1/pp3ppp/2npp3/q1p5/2BPP3/2P2Q2/P1P2PPP/R4RK1 b - - 0 13,-74.0
r4rk1/pp3ppp/2npp3/q7/2BpP3/2P2Q2/P1P2PPP/R4RK1 w - - 0 14,-172.0
r4rk1/pp3ppp/2npp3/q7/2BPP3/5Q2/P1P2PPP/R4RK1 b - - 0 14,-103.0
r4rk1/pp3ppp/2np4/q3p3/2BPP3/5Q2/P1P2PPP/R4RK1 w - - 0 15,-19.0
r4rk1/pp3ppp/2np4/q2Pp3/2B1P3/5Q2/P1P2PPP/R4RK1 b - - 0 15,-74.0
r4rk1/pp3ppp/3p4/q2Pp3/2BnP3/5Q2/P1P2PPP/R4RK1 w - - 1 16,-97.0
r4rk1/pp3ppp/3p4/q2Pp3/2BnP3/7Q/P1P2PPP/R4RK1 b - - 2 16,-147.0
r4rk1/pp3ppp/3p4/q2Pp3/2B1P3/7Q/P1n2PPP/R4RK1 w - - 0 17,-164.0
r4rk1/pp3ppp/3p4/q2Pp3/2B1P3/7Q/P1n2PPP/2R2RK1 b - - 1 17,-163.0
r4rk1/pp3ppp/3p4/q2Pp3/2BnP3/7Q/P4PPP/2R2RK1 w - - 2 18,-157.0
r4rk1/pp1Q1ppp/3p4/q2Pp3/2BnP3/8/P4PPP/2R2RK1 b - - 3 18,-154.0
3r1rk1/pp1Q1ppp/3p4/q2Pp3/2BnP3/8/P4PPP/2R2RK1 w - - 4 19,-166.0
3r1rk1/pQ3ppp/3p4/q2Pp3/2BnP3/8/P4PPP/2R2RK1 b - - 0 19,-55.0
2r2rk1/pQ3ppp/3p4/q2Pp3/2BnP3/8/P4PPP/2R2RK1 w - - 1 20,-64.0
2r2rk1/p2Q1ppp/3p4/q2Pp3/2BnP3/8/P4PPP/2R2RK1 b - - 2 20,-90.0
2r2rk1/p2Q1ppp/3p4/3Pp3/1qBnP3/8/P4PPP/2R2RK1 w - - 3 21,-82.0
2r2rk1/Q4ppp/3p4/3Pp3/1qBnP3/8/P4PPP/2R2RK1 b - - 0 21,-128.0
5rk1/Q4ppp/3p4/3Pp3/1qrnP3/8/P4PPP/2R2RK1 w - - 0 22,-365.0
5rk1/Q4ppp/3p4/3Pp3/1qRnP3/8/P4PPP/5RK1 b - - 0 22,151.0
5rk1/Q4ppp/3p4/3Pp3/2qnP3/8/P4PPP/5RK1 w - - 0 23,-459.0
5rk1/Q4ppp/3p4/3Pp3/P1qnP3/8/5PPP/5RK1 b - - 0 23,-517.0
5rk1/Q4ppp/3p4/3Pp3/P1q1P3/8/4nPPP/5R1K b - - 2 24,-530.0
5rk1/Q4ppp/3p4/3Pp3/P1q1P3/6P1/5PP1/5R1K b - - 0 25,14.0
5rk1/Q4ppp/3p4/3Pp3/P3P3/6P1/5PPK/5q2 b - - 1 26,-550.0
5rk1/Q4ppp/3p4/3Pp3/P3P3/6P1/5PPK/2q5 w - - 2 27,-457.0
5rk1/Q4ppp/3p4/P2Pp3/4P3/6P1/5PPK/2q5 b - - 0 27,-566.0
2r3k1/Q4ppp/3p4/P2Pp3/4P3/6P1/5PPK/2q5 w - - 1 28,-444.0
2r3k1/Q4ppp/P2p4/3Pp3/4P3/6P1/5PPK/2q5 b - - 0 28,-500.0
2r3k1/Q4pp1/P2p3p/3Pp3/4P3/6P1/5PPK/2q5 w - - 0 29,-299.0
2r3k1/1Q3pp1/P2p3p/3Pp3/4P3/6P1/5PPK/2q5 b - - 1 29,-271.0
2r5/1Q3ppk/P2p3p/3Pp3/4P3/6P1/5PPK/2q5 w - - 2 30,-178.0
2r5/PQ3ppk/3p3p/3Pp3/4P3/6P1/5PPK/2q5 b - - 0 30,-147.0
8/PQr2ppk/3p3p/3Pp3/4P3/6P1/5PPK/2q5 w - - 1 31,113.0
1Q6/P1r2ppk/3p3p/3Pp3/4P3/6P1/5PPK/2q5 b - - 2 31,14.0
1Q6/P4ppk/3p3p/3Pp3/4P3/6P1/2r2PPK/2q5 w - - 3 32,33.0
QQ6/5ppk/3p3p/3Pp3/4P3/6P1/2r2PPK/2q5 b - - 0 32,102.0
QQ6/5ppk/3p3p/3Pp3/4P3/6P1/5rPK/2q5 w - - 0 33,132.0
Q6Q/5pp1/3p2kp/3Pp3/4P3/6P1/5rPK/2q5 w - - 2 34,54.0
2Q4Q/5pp1/3p2kp/3Pp3/4P3/6P1/5rPK/2q5 b - - 3 34,-4.0
2Q4Q/5pp1/3p2kp/3Pp3/4P3/6P1/5rPK/3q4 w - - 4 35,77.0
7Q/5pp1/3p2kp/3Ppr2/4P3/6P1/6PK/3q4 w - - 0 36,-177.0
7Q/5pp1/3p3p/3Ppk2/8/6P1/6PK/3q4 w - - 0 37,-120.0
8/5pQ1/3p3p/3Ppk2/8/6P1/6PK/3q4 b - - 0 37,-68.0
8/5pQ1/3p3p/3Ppk1q/8/6P1/6P1/6K1 b - - 2 38,-191.0
8/5pQ1/3p3p/3Pp2q/4k3/6P1/6P1/6K1 w - - 3 39,-156.0
8/5p2/3p1Q1p/3Pp2q/4k3/6P1/6P1/6K1 b - - 4 39,-169.0
8/5p2/3p1Q1p/3kp2q/8/6P1/6P1/6K1 w - - 0 40,-192.0
8/5p2/3p3p/3kp2q/8/6P1/6P1/5QK1 b - - 1 40,-222.0
8/5p2/3pk2p/4p2q/8/6P1/6P1/5QK1 w - - 2 41,-269.0
8/5p2/3pk2p/4p2q/8/6P1/5QP1/6K1 b - - 3 41,-341.0
8/5p2/3pk2p/4p3/8/6P1/5QPK/3q4 b - - 5 42,-316.0
8/8/3pk2p/4pp2/8/6P1/5QPK/3q4 w - - 0 43,-245.0
8/Q7/3pk2p/4pp2/8/6P1/6PK/3q4 b - - 1 43,-234.0
8/Q7/3pk2p/4pp1q/8/6P1/6P1/6K1 b - - 3 44,-223.0
8/Q7/3pk2p/4pp2/6q1/6P1/6P1/6K1 w - - 4 45,-218.0
8/7Q/3pk2p/4pp2/6q1/6P1/6P1/6K1 b - - 5 45,-221.0
8/7Q/3pk3/4pp1p/6q1/6P1/6P1/6K1 w - - 0 46,-227.0
8/8/3p3Q/3kpp1p/6q1/6P1/6P1/6K1 w - - 2 47,-218.0
8/8/3p4/4pp1p/3k4/6P1/6P1/6K1 w - - 0 49,-458.0
8/8/3p4/4pp1p/3k4/6P1/5KP1/8 b - - 1 49,-438.0
8/8/3p4/5p1p/3kp3/6P1/5KP1/8 w - - 0 50,-455.0
8/8/3p4/5p1p/3kp3/6P1/4K1P1/8 b - - 1 50,-459.0
8/8/8/3p1p1p/3kp3/6P1/4K1P1/8 w - - 0 51,-436.0
8/8/8/3p1p1p/3kp3/6P1/3K2P1/8 b - - 1 51,-487.0
8/8/8/3p1p1p/3k4/4p1P1/4K1P1/8 b - - 1 52,-466.0
8/8/8/3p1p1p/4k3/4p1P1/4K1P1/8 w - - 2 53,-466.0
8/8/8/3p1p1p/4k3/4p1P1/6P1/3K4 b - - 3 53,-561.0
8/8/8/5p1p/3pk3/4p1P1/6P1/3K4 w - - 0 54,-476.0
8/8/8/5p1p/3pk3/4p1P1/4K1P1/8 b - - 1 54,-628.0
8/8/8/5p1p/4k3/3pp1P1/6P1/3K4 b - - 1 55,-692.0
8/8/8/5p1p/4k3/3p2P1/4p1P1/4K3 b - - 1 56,-686.0
rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq - 0 1,10.0
rnbqkbnr/pppp1ppp/8/4p3/8/4P3/PPPP1PPP/RNBQKBNR w KQkq - 0 2,-10.0
rnbqkbnr/pppp1ppp/8/4p3/3P4/4P3/PPP2PPP/RNBQKBNR b KQkq - 0 2,-1.0
rnbqkbnr/pppp1ppp/8/8/3Pp3/4P3/PPP2PPP/RNBQKBNR w KQkq - 0 3,21.0
rnbqkbnr/pppp1ppp/8/3P4/4p3/4P3/PPP2PPP/RNBQKBNR b KQkq - 0 3,15.0
rnbqkb1r/pppp1ppp/5n2/3P4/4p3/4P3/PPP2PPP/RNBQKBNR w KQkq - 1 4,10.0
rnbqkb1r/pppp1ppp/5n2/3P4/4p3/2N1P3/PPP2PPP/R1BQKBNR b KQkq - 2 4,16.0
rnbqkb1r/pp1p1ppp/2p2n2/3P4/4p3/2N1P3/PPP2PPP/R1BQKBNR w KQkq - 0 5,19.0
rnbqkb1r/pp1p1ppp/2pP1n2/8/4p3/2N1P3/PPP2PPP/R1BQKBNR b KQkq - 0 5,12.0
rnbqk2r/pp1p1ppp/2pb1n2/8/4p3/2N1P3/PPP2PPP/R1BQKBNR w KQkq - 0 6,-120.0
